date,lesson,change_summary,files_affected,social_caption,hashtags
"2026-05-17","Lesson 21","Created Lesson 21 (Routing & Multi-page Apps): Implemented tutor and student notes, practice exercises, and scaffolded a complete Vite React app with React Router v6 featuring declarative navigation, dynamic routes, a 404 page, and an interactive embedded React GUI Quiz.","Lesson 21/notes/*, Lesson 21/exercises/*, Lesson 21/examples/react-router-app/*","?? Session 21 is live! Just added a complete module on building Single Page Applications with React Router v6. Say goodbye to page reloads and hello to blazing fast multi-page apps. Complete with a new interactive embedded quiz! #ReactJS #ReactRouter #WebDevelopment #Frontend"
"2026-05-17","Lesson 22","Created Lesson 22 (Advanced React: Context API & Custom Hooks): Implemented tutor/student notes, practice exercises, and scaffolded an advanced Vite React app demonstrating Prop Drilling vs Context API (Theme Switcher), Custom Hooks (useToggle, useLocalStorage), and an interactive embedded React GUI Quiz.","Lesson 22/notes/*, Lesson 22/exercises/*, Lesson 22/examples/advanced-react-app/*","?? Lesson 22 is out! Master advanced React patterns by solving Prop Drilling with the Context API and abstracting logic into Custom Hooks. Complete with a live dark mode theme switcher and an interactive embedded quiz! #ReactJS #WebDev #AdvancedReact #CodingTutorial"
"2026-05-17","Lessons 21-22","Pedagogical audit and improvement: L21: added useNavigate section to student notes; enriched Home (SPA state-proof counter) and About (layout pattern explanation); upgraded NotFound with useLocation; rewrote exercises; added README. L22: fixed ContextDemo to full 5-level tree; rewrote HooksDemo with dual spoiler cards to prove independent hook state; fixed exercises (were describing already-done code); updated student notes with object Context pattern and useLocalStorage code; added README.","Lesson 21/*, Lesson 22/*","Lesson 21 & 22 just got a major upgrade after a full pedagogical audit ?? Spotted critical gaps like exercises asking students to do things already done in code, and demos that skipped levels in a 5-level narrative. All fixed! #ReactRouter #ReactContext #CustomHooks #TeachingReact"
"2026-05-17","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-05-17","Lessons 19-22","UI Design Overhaul: Replaced flat solid-color design system across all four React lesson apps with a premium dark design � deep space backgrounds with radial gradient ambient glows, glassmorphism card surfaces with backdrop blur, gradient buttons with box-shadow glow, gradient progress bars with glow, blurred sticky navbars with gradient logo text, gradient heading text, micro-animations (fadeUp), left-border inset on quiz option selection, and glowing score rings. Each lesson gets a unique accent color: L19 cyan, L20 violet, L21 indigo/purple, L22 blue/purple dual-theme.","Lesson 19/*, Lesson 20/*, Lesson 21/*, Lesson 22/*","Major glow-up ?? Just redesigned all 4 React lesson apps with glassmorphism, ambient glows, gradient buttons and a premium dark design system. Learning React has never looked this good. #ReactJS #WebDesign #UIDesign #FrontendDev"
"2026-05-19","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-05-19","Lesson 23","Created Lesson 23: Intro to Testing (Vitest & RTL). Scaffolded a Vite React app with Vitest, React Testing Library, and jsdom. Created unit test examples (math.js) and component test examples (Counter, DisplayMessage). Wrote Tutor Notes, Student Notes, and Practice Exercises. Designed the app using a premium teal/green glassmorphism design system.","Lesson 23/*","Just published Lesson 23 on testing in React! ?? Learn how to write unit tests with Vitest and test user interactions with React Testing Library. Testing doesn`t have to be hard, it`s your code`s safety net! ??? #ReactJS #Vitest #TestingLibrary #WebDevelopment"
"2026-05-19","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-05-19","Lesson 24","Created Lesson 24: Project Interactive Dashboard. Scaffolded a Vite React app with React Router, Tailwind CSS, Lucide React, and Recharts. Provided a premium dark-mode layout shell (Sidebar, Header, Overview, Analytics, Settings) for students to populate. Authored project guidelines guiding students through data fetching, component creation, routing, and interactive state management.","Lesson 24/*","Cap off your React learning with our new Interactive Dashboard project! ?? Build a responsive, multi-page app with React Router, Tailwind CSS, and Recharts. Practice makes perfect. #ReactJS #WebDevelopment #Frontend #TailwindCSS"
"2026-05-19","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-05-19","Lessons 23-24","Pedagogical & UI overhaul of both lessons. L23: Added Concepts tab with visual Testing Pyramid, key tools cards, RTL golden rule panel; upgraded Quiz to 6 questions with stateful retake; added demo grid with exercise callouts and code reference panel. L24: Completed all pages (Overview data-fetch with skeletons, Analytics chart toggle, Settings with 4 toggles + working toast); added StatCard + RecentActivity reference components; fixed Sidebar to NavLink; fixed Tailwind v4 PostCSS config.","Lesson 23/*, Lesson 24/*","Major upgrade to our React curriculum Lessons 23 & 24! ?? L23 now has a visual Testing Pyramid + 6-question quiz. L24 is a fully working dashboard with data fetching, animated charts, and a toast notification system. #ReactJS #LearningToCode #WebDev"
"2026-05-19","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-05-19","Lessons 23-24","Comprehensive notes overhaul for Lessons 23 & 24. L23 student notes: rewritten with Testing Pyramid table, AAA pattern deep-dive, annotated code examples for every scenario, screen query comparison table, and exercise map. L23 tutor notes: added 90-min session plan with timings, error lookup table, key verbal reinforcement points. L24 student notes: rewritten with concept-to-file reference table, annotated layout/NavLink/useEffect/StatCard/toast patterns, Tailwind cheat sheet. L24 tutor notes: pre-session checklist, capstone pedagogy framing, milestone guiding questions, deployment preview.","Lesson 23/notes/*, Lesson 24/notes/*","Our React curriculum notes just got a serious upgrade! ?? Every lesson now has a detailed session plan, annotated code examples, error lookup tables, and guiding questions for tutors. Professional learning starts with professional documentation. #EdTech #ReactJS #Curriculum"
"2026-05-28","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-05-28","Lesson 25","Created Lesson 25 on Node.js, NPM, and Modules. Built an interactive CLI app instead of a React GUI to natively demonstrate backend JS concepts. Implemented inquirer-driven quizzes, dynamic concept cards, and dual CommonJS/ESM module setups. Wrote detailed student and tutor notes anchored to the interactive CLI, plus an exercise sheet for initializing a node project with Axios.","Lesson 25/*","Just shipped Lesson 25 in our React curriculum! ?? Students are officially crossing over into the backend with Node.js, NPM, and Modules. We built a slick interactive CLI to make learning the backend just as engaging as the frontend! #NodeJS #JavaScript #BackendDev #LearningToCode"
"2026-05-28","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-05-28","Lesson 25","Created Lesson 25 on Node.js, NPM, and Modules. Built an interactive CLI app natively demonstrating backend JS concepts. Implemented inquirer-driven quizzes, dynamic concept cards, and dual CommonJS/ESM setups. Wrote detailed notes anchored to the CLI, plus an exercise sheet for initializing a node project.","Lesson 25/*","Just shipped Lesson 25 in our curriculum! ?? Students cross over into the backend with Node.js, NPM, and Modules. Built a slick interactive CLI to make learning the backend engaging! #NodeJS #JavaScript #BackendDev #LearningToCode"
"2026-05-28","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-05-28","Lesson 26","Created Lesson 26 on Express.js APIs. Built a custom full-stack UI (HTML/Tailwind) served statically by Express to act as an API Explorer, solving the invisible-backend problem. Students can test GET/POST/PUT/DELETE visually and take an interactive quiz directly in the browser. Wrote detailed tutor and student notes anchored to the Explorer UI, plus an exercise sheet for building a new REST API from scratch.","Lesson 26/*","Lesson 26 is live! ?? We just introduced Express.js to the curriculum. Backend development can be hard for visual learners, so we built a custom API Explorer UI that lets students test endpoints and take quizzes right in the browser! #ExpressJS #NodeJS #APIs #BackendDev"
"2026-05-28","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-05-28","Lessons 25-26","Pedagogical and UI overhaul of Lessons 25 and 26. L25: Fixed chalk.indigo crash, added 3rd Concept screen (CJS vs ESM), restructured module demo into side-by-side boxen panels, upgraded quiz to 7 questions with progress bar and correct-answer explanations for all answers, rewrote all notes with Event Loop explanation and CJS/ESM comparison table. L26: Added Concepts tab with 3 concept cards + CRUD table + middleware banner, added GET-by-ID explorer card, fixed PUT to include Author field, added syntax-highlighted JSON output, request log with timing, upgraded quiz to 7 per-answer instant-feedback questions, rewrote all notes with req/res tables and status code reference.","Lesson 25/*, Lesson 26/*","Major upgrade to Lessons 25 & 26! ?? The Node.js CLI now has 3 concept screens, a live side-by-side module demo, and a 7-question quiz with progress bars. The Express API Explorer got a full redesign � Concepts tab, syntax-highlighted JSON, live request log, and instant-feedback quiz! #NodeJS #ExpressJS #BackendDev #LearningToCode"
"2026-06-03","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-06-03","Lesson 27","Created Lesson 27 on Middleware, Error Handling, and Environment Variables. Implemented interactive Web GUI for testing custom auth middleware, global error handling (crashing route), and request logging. Created comprehensive student and tutor notes, and practice exercises for hardening the Movies API with .env, req logging, and admin API keys.","Lesson 27/*","Mastering the dark arts of backend defense! ??? Lesson 27 is live, teaching you how to build custom Middleware, hide secrets with .env, and catch server-crashing errors gracefully before they reach the user. Includes a slick interactive Web GUI to test your API key auth live! #ExpressJS #NodeJS #BackendSecurity #APIDevelopment"
"2026-06-03","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-06-03","Lesson 28","Created Lesson 28 on SQL Basics and PostgreSQL. Implemented an interactive SQL Playground Web GUI using better-sqlite3 for safe, browser-based SQL practice. Provided raw schema.sql and queries.sql for local psql usage. Wrote comprehensive student and tutor notes focusing on relational database concepts, primary keys, declarative programming, and CRUD operations. Added practice exercises on foreign keys and table relationships.","Lesson 28/*","Ready to level up from JSON files to real databases? ?? Lesson 28 is live! Learn the core of Relational Databases, Master SQL CRUD operations, and practice safely in our new interactive Web SQL Playground before moving to PostgreSQL. #SQL #PostgreSQL #BackendDev #DatabaseDesign"
"2026-06-03","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-06-03","Lesson 29","Created Lesson 29 on NoSQL Basics, MongoDB, and Mongoose. Set up a local interactive Mongoose Explorer UI connected to an Express backend running mongodb-memory-server. Wrote comprehensive curriculum notes explaining the 'Wild West' analogy of NoSQL, the need for ODM validation, and Mongoose CRUD operations. Created exercises for building a Task API.","Lesson 29/*","Tired of strict SQL tables? ?? Lesson 29 is here to teach you the wild world of NoSQL! Learn MongoDB and how to wrangle your JSON documents back into shape using Mongoose schemas. Features a live browser-based MongoDB sandbox! #MongoDB #Mongoose #NodeJS #BackendDev"
"2026-06-03","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-06-03","Lesson 30","Created Lesson 30 on Database Design and Relationships. Developed a visual Relationships Explorer Web GUI using better-sqlite3 that renders 5 interconnected tables and allows students to run real JOIN queries. Wrote curriculum notes covering Normalization (1NF, 2NF, 3NF), 1:1, 1:N, and M:N relationships, and the necessity of Junction tables. Created exercises for designing an E-commerce ER diagram and writing raw PostgreSQL schema code.","Lesson 30/*","Master the art of Database Design! ?? Lesson 30 covers Normalization, Foreign Keys, and the magic of JOINs. Features an interactive web visualizer to literally see how your tables connect across 1:1, 1:N, and Many-to-Many relationships. No more duplicate data! #DatabaseDesign #SQL #PostgreSQL #BackendDev"
"2026-06-03","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-06-03","Lesson 27","Overhauled Lesson 27 Middleware & Security Lab with 4-tab UI: Animated Middleware Chain Visualizer, .env Security Visualizer, API Key Explorer, and Quiz. Comprehensive tutor notes with Airport Security analogy.","Lesson 27/examples/middleware-api/public/index.html, Lesson 27/notes/tutor_notes.md, Lesson 27/notes/student_notes.md, Lesson 27/exercises/middleware_practice.md","Your Express app has security gaps? ??? Lesson 27 brings middleware to life with an ANIMATED request pipeline visualizer! Watch requests flow through your middleware chain step-by-step. Plus a .env security deep-dive. #NodeJS #ExpressJS #Middleware #WebSecurity","?? Lesson 27 just got a massive upgrade! Animated middleware chains, live API key testing, and a beautiful security lab UI. This is how backend dev should be taught. #BackendDev #NodeJS #Learning"
"2026-06-03","Lesson 28","Overhauled Lesson 28 SQL Playground with Neon PostgreSQL + better-sqlite3 fallback. Full SQL Lab with preset queries, animated query-flow diagram, live results table. Real cloud database connectivity with .env.example.","Lesson 28/examples/sql-basics/server.js, Lesson 28/examples/sql-basics/public/index.html, Lesson 28/examples/sql-basics/.env.example, Lesson 28/notes/tutor_notes.md","Your SQL queries just went cloud-native! ?? Lesson 28 now connects to Neon PostgreSQL in production OR runs a local SQLite fallback � zero config needed. Write real SQL in the browser against a live database! #SQL #PostgreSQL #Neon #DatabaseDev","??? Lesson 28 SQL Playground: now live with Neon PostgreSQL cloud database! Animated query pipeline, preset SQL templates, and a slick dark-mode IDE-style interface. Real backend dev, real database. #SQL #NodeJS #BackendDev"
"2026-06-03","Lesson 29","Upgraded Lesson 29 Mongoose Explorer to support MongoDB Atlas + in-memory fallback. CRUD Playground with live product management, glassmorphism UI with floating animations, Atlas status badge.","Lesson 29/examples/mongoose-basics/server.js, Lesson 29/examples/mongoose-basics/public/index.html, Lesson 29/examples/mongoose-basics/.env.example, Lesson 29/notes/tutor_notes.md","MongoDB Atlas + Mongoose in one gorgeous UI! ?? Lesson 29 connects to a real cloud MongoDB cluster OR spins up an in-memory instance locally. Create, update, delete documents live in the browser. #MongoDB #Mongoose #NoSQL #BackendDev","? Lesson 29 glow-up: glassmorphism cards, floating animations, and REAL MongoDB Atlas connectivity! The Mongoose CRUD Playground just leveled up dramatically. #MongoDB #NoSQL #WebDev"
"2026-06-03","Lesson 30","Overhauled Lesson 30 DB Design Explorer: SVG ER Diagram, Neon PostgreSQL live JOIN Lab, 5-table live viewer with FK highlighting. Tutor notes rewritten with Moving Day Problem analogy and 3 data anomaly types.","Lesson 30/examples/db-design/server.js, Lesson 30/examples/db-design/public/index.html, Lesson 30/examples/db-design/.env.example, Lesson 30/notes/tutor_notes.md","Database Design just got visual! ?? Lesson 30 has an interactive SVG ER Diagram, live table viewer with FK highlighting, and a SQL JOIN Lab connected to Neon PostgreSQL. Watch relationships come to life in real data! #DatabaseDesign #SQL #ERDiagram #BackendDev","??? Lesson 30 teacher notes rewrite: The Moving Day Problem analogy now explains Update, Insertion, AND Deletion anomalies in one story. This is the normalization explanation students actually remember. #Teaching #DatabaseDesign #SQL"
"2026-06-03","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-06-03","Lessons 27-30","Deep-rewrote all student and tutor notes for Lessons 27-30. Previous versions were thin bullet lists with Windows encoding corruption. All 8 notes files now feature deep conceptual explanations, memorable real-world analogies, common mistake tables, and cloud DB setup guides.","Lesson 27/notes/*, Lesson 28/notes/*, Lesson 29/notes/*, Lesson 30/notes/*","Your backend lessons just got a SERIOUS upgrade! ?? We rewrote all the reference notes for Lessons 27-30 from the ground up. Airport security = middleware. Spreadsheets = SQL tables. Sheriff = Mongoose. Moving Day problems = database anomalies. Real explanations, not just syntax. #TeachingCode #NodeJS #SQL #MongoDB","Student notes for our Backend module are now something I'm genuinely proud of. Deep analogies, common mistakes tables, JS-to-SQL comparisons, and step-by-step cloud DB setup guides. This is the backend curriculum I wish I had. #CurriculumDev #WebDev #Education"
"2026-06-20","Lesson 30","Fixed duplicate DATABASE_URL assignment in .env file","Lesson 30/examples/db-design/.env","Just squashed a bug in our Lesson 30 db-design .env file! A duplicate DATABASE_URL assignment was breaking the Neon PostgreSQL connection. All fixed and the dev server is running smoothly! 🚀🐘","#PostgreSQL #Database #Neon #BugFix #WebDevelopment #SoftwareEngineering"
"2026-06-20","Lesson 30","Fixed unhandled exception in db-design index.html and seeded Neon DB tables","Lesson 30/examples/db-design/public/index.html","Squashed a UI bug and seeded the DB! 🚀 The DB Design Explorer no longer crashes if tables are missing, and your Neon database is now fully populated with the Lesson 30 schema!","#BugFix #PostgreSQL #Neon #WebDevelopment #DatabaseDesign"
"2026-06-22","Lesson 30","Finalized Lesson 30 curriculum: rewrote exercises into a 6-task ShopFlow e-commerce schema project with full answer key, added Neon-ready schema.sql with seed data, created README.md with setup guide and resource links.","Lesson 30/README.md, Lesson 30/exercises/design_practice.md, Lesson 30/examples/db-design/schema.sql","Database Design students: your exercise just leveled up! The new ShopFlow project takes you from identifying entities ? drawing ERD ? writing 5 normalized tables ? seeding data ? writing 5 real business queries. Full answer keys included! #SQL #DatabaseDesign #PostgreSQL #LearningToCode","Lesson 30 is now a complete, self-contained database design curriculum. The ShopFlow e-commerce schema exercise covers 1:1 customer profiles, 1:N orders, M:N order items, anti-join patterns, and index creation. Exactly the project employers actually ask about. #BackendDev #SQL #Teaching"
"2026-06-22","Lesson 7","Created Lesson 7 Git Basics codebase","README.md, notes/tutor_notes.md, notes/student_notes.md, exercises/git_practice.md, assignments/assignment_brief.md, examples/git_workflow_demo/index.html, examples/git_workflow_demo/style.css","",""
"2026-06-22","Lesson 31","Created Lesson 31 curriculum for Authentication & Security. Includes student/tutor notes explaining Bcrypt and JWTs using Hotel Key Card analogy, interactive Express UI for live hash/JWT visualizing, and exercises to secure the Movies API.","Lesson 31/*","Level up your backend security! ?? We just added Lesson 31 covering Bcrypt, JSON Web Tokens, and Stateless Sessions. Includes an interactive Auth Lab where you can see hashes generated live and tamper with JWTs to see how signatures break. No more plain text passwords! #NodeJS #Security #JWT #WebDev","Building secure APIs just got easier to teach. Lesson 31 breaks down authentication vs authorization, Bcrypt work factors, and Session vs Token auth using simple analogies (VIP List vs Hotel Key Card). Complete with a 3-tab glassmorphism UI for visual learning. #CurriculumDev #BackendDev"
"2026-06-22","Lesson 32","Created Lesson 32 curriculum for Web Security Basics (CORS, XSS, CSRF). Includes student/tutor notes explaining vulnerabilities via analogies, an interactive Security Lab UI for live XSS injections, and exercises to harden the Movies API with Helmet and XSS sanitization.","Lesson 32/*","Is your API an open door? ?? Learn to lock it down in Lesson 32! We cover the Big Three of Web Security: CORS, XSS, and CSRF. Features an interactive Security Lab where you can literally Hack Yourself to see how payloads execute, and then learn how to sanitize them! #CyberSecurity #NodeJS #WebSecurity #ExpressJS","We just deployed Lesson 32 covering Web Security Basics. Teaching security is hard without visual proof, so this lesson includes a live 'Hack Yourself' UI. Students can inject XSS payloads to see innerHTML dangers, and trigger CORS errors live in the browser. Learn to use Helmet, explicit CORS config, and sanitization middleware. #EdTech #SecurityEducation"
"2026-06-22","Lesson 33","Created Lesson 33 curriculum for Integrating Auth into an Express App. Built a full MVC backend architecture utilizing Prisma (SQLite), Bcrypt, and JWT. Implemented a Role-Based Access Control (RBAC) middleware system and a Glassmorphism React-style Vanilla JS frontend to demonstrate localStorage token persisting.","Lesson 33/*","Ready to lock down your APIs? ?? Lesson 33 is here! Learn how to build a complete Authentication Architecture in Express from scratch. We cover Registration flows, Bcrypt hashing, generic Login error handling (to prevent enumeration), JWTs, and Role-Based Access Control (Admin vs User). Includes a beautiful interactive Auth UI! #NodeJS #Security #WebDevelopment #Prisma","Just deployed Lesson 33 on full Express Auth integration! One of the hardest concepts for students is understanding how the frontend persists JWTs. So, we built an interactive Lab that shows the token saving to localStorage in real-time, and demonstrates how Role-Based Access Control middleware functions to block non-admins. Check it out! #EdTech #JavaScript"
"2026-06-22","Lesson 34","Created Lesson 34 curriculum covering Deployment Basics. Provided deployable templates for Node.js Express APIs (Render/Heroku) and Vite/React frontends (Vercel). Covered crucial DevOps concepts like CORS configuration, environment variable management, dynamic Port binding, and SPA routing rewrites.","Lesson 34/*","Ready to share your code with the world? ?? Lesson 34 is out now! We dive deep into Deployment Basics, taking you from `localhost` to production. Learn how to host your React frontends on Vercel and your Node APIs on Render or Heroku. We cover the hardest parts: CORS errors, Environment Variables, and dynamic Ports! #WebDev #Deployment #Vercel #NodeJS #ReactJS","Just launched the new Deployment Basics curriculum! One of the biggest hurdles for junior devs is getting their frontend to talk to their backend in production. This lesson includes pre-configured deployable templates and a comprehensive guide on fixing CORS and hiding `.env` secrets on platforms like Render and Vercel. Demystifying DevOps! #EdTech #SoftwareEngineering"
"2026-06-22","Lesson 35","Created Lesson 35 curriculum covering CI/CD Basics using GitHub Actions. Built modular YAML templates for automated Node.js Testing (CI), Vercel deployments (CD), and Render Deploy Hooks (CD). Wrote interactive exercises teaching students how to intentionally break and fix CI pipelines to understand Pull Request blocking.","Lesson 35/*","Tired of pushing broken code to production? ?? Lesson 35 covers Continuous Integration and Deployment (CI/CD) using GitHub Actions! Learn how to write YAML workflows that automatically run `npm test` on every Pull Request, blocking bad code from ever reaching your users. We also cover GitHub Secrets and CD pipelines to Vercel/Render! #DevOps #GitHubActions #CI_CD #WebDev","Just added a new DevOps module to the curriculum! Lesson 35 teaches students the power of GitHub Actions. The best part of this lesson is the interactive exercise where students intentionally push a failing test to watch the GitHub runner turn red, then fix it to see the satisfying green checkmark. Building good engineering habits early! #EdTech #SoftwareEngineering"
"2026-06-22","Lesson 31-35","Upgraded Lesson 30-35 UIs to 4-tab dark glassmorphism design, implemented dual PostgreSQL/SQLite adapter pattern, and built interactive CI/CD and SQL Injection simulators.","Lesson 31/examples/auth-api/server.js, Lesson 35/examples/ci-simulator/index.html, Lesson 34/examples/deployment-checklist/index.html","We just upgraded our curriculum! Lessons 30-35 now feature stunning dark glassmorphism interactive labs. We also implemented a dual-mode DB adapter (Neon PostgreSQL + SQLite) so students can learn on real cloud databases or local fallback seamlessly! ?? #WebDev #PostgreSQL #Neon #EdTech","The new interactive CI/CD Simulator in Lesson 35 is a game changer! Students can trigger an automated pipeline, see it pass npm test, and deploy. We even included a feature to inject a failing test and watch the pipeline abort. Hands-on DevOps learning at its finest! ?? #DevOps #GitHubActions #CI_CD #Teaching"
